person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,credit_score,previous_loan_defaults_on_file,loan_status
1,1,7.009847908207311,4,0,40.773347461972534,0,10.84,0.15805121148235712,6442981972.736045,0,1
0,2,7.067701385032174,0,2,35.500249834920425,1,14.74,0.1072433161905317,6800956533.077233,0,0
0,3,7.248536278741284,5,2,31.37269359062835,2,11.01,0.05104991517487931,8570362990.916106,0,0
0,0,6.967528943744071,4,2,33.07663373935478,3,11.14,0.11146683302930122,4792724920.853688,1,0
0,2,6.947580634795908,0,2,30.588849147271755,5,7.49,0.09325838270971218,6212119823.796713,1,0
1,1,7.148945312366038,2,0,29.519576840831487,1,11.01,0.05104991517487931,7560261302.168223,1,0
1,1,6.865904081848734,8,1,24.663711262149235,2,6.99,0.05805938790560792,7386425688.237455,1,0
1,3,6.8259446030152,23,0,33.404208312655975,2,11.86,0.13893162698045083,5081518739.223877,0,1
0,3,7.324300656699932,0,2,32.10366786455521,5,6.92,0.04365704998860869,9781194353.895208,0,0
0,2,7.072163796665477,0,2,39.67962047838015,2,15.27,0.13893162698045083,6521311444.86561,0,1
1,2,6.994326364274628,1,0,32.01491201968585,4,12.53,0.0981519920678359,5016271787.090802,1,0
1,1,7.149527415918431,15,2,32.45175718195024,5,11.01,0.0710193225309618,5732736715.296214,1,0
1,2,6.608747979103308,7,0,20.95620288960928,4,18.3,0.06470865966027203,9887440464.161604,0,1
1,1,6.728510489779463,7,0,26.55885456598713,2,6.54,0.0981519920678359,6404076334.521833,0,0
0,1,6.902700246157096,2,0,21.244953348109142,0,17.27,0.03585586620429589,4251377352.59881,1,0
1,4,6.864236327631028,16,0,20.343772087016575,2,9.63,0.03585586620429589,11825838131.671854,0,0
1,3,6.494542900862356,0,1,28.576242330964142,4,7.9,0.15805121148235712,6482060181.7016945,0,1
1,2,6.979111862161837,8,0,24.663711262149235,0,8.41,0.04365704998860869,9781194353.895208,0,0
0,1,6.757956728213915,0,0,30.067887089570064,0,14.75,0.12298687408692441,6250169840.097675,0,1
0,1,6.968791232526837,0,2,39.39170985082506,3,10.65,0.156008566877461,9467463369.774864,1,0
1,0,6.865143559962789,0,0,34.04752614226796,2,9.63,0.13893162698045083,6174239489.4849205,1,0
1,2,7.189305804577725,0,2,43.18043793914921,2,14.91,0.13893162698045083,6882440301.389922,0,1
1,1,6.872546978465412,17,0,33.07663373935478,0,15.37,0.12980923246312995,11287889389.294127,0,0
1,3,6.854393321333766,3,2,36.70765527462055,4,14.22,0.16000897756303825,9010750659.591,0,1
0,1,7.074295031493415,3,1,37.84933336854038,4,16.82,0.12647760575665437,7131177372.410884,1,0
1,3,7.103421611953148,5,0,34.04752614226796,0,11.11,0.09325838270971218,2915705365.622507,1,0
1,2,7.076400240633003,3,0,39.0974212043154,4,11.49,0.13299022231983967,5451531803.518672,1,0
0,1,6.93317593741254,8,0,32.45175718195024,2,13.8,0.11146683302930122,6600335070.4096775,0,0
1,1,6.872301028315868,13,0,25.383743933638357,2,12.58,0.06470865966027203,7173263713.306309,0,0
1,3,7.356407447430539,18,2,31.56006688543129,5,7.51,0.04365704998860869,6680056728.2757435,1,0
1,3,6.864022510724863,2,0,32.45175718195024,5,11.99,0.12298687408692441,4426571840.380019,1,0
1,0,6.865052183471193,0,0,19.318964459565546,3,11.78,0.027619554849898278,9211696280.715668,0,0
1,2,7.125222338363384,5,2,40.84976147594358,1,11.11,0.13602852903753415,7692587405.676846,0,1
0,0,6.948908594755642,3,1,29.20509097049062,3,10.62,0.08270392415676227,7871647027.932008,0,0
1,1,6.824893252256687,8,0,19.133175910132874,3,11.01,0.027619554849898278,4025741220.563303,1,0
1,1,7.090444784380826,13,0,32.45175718195024,4,7.15,0.08270392415676227,4637572557.800179,1,0
0,1,7.003867646568487,2,2,38.89752099820965,2,14.91,0.14689788546723034,9467463369.774864,0,1
1,1,7.234465450644263,0,2,32.45175718195024,1,13.06,0.05805938790560792,2959614679.1443586,1,0
0,3,6.659179982915389,3,0,31.085415182076854,3,11.01,0.15165092065192995,6680056728.2757435,0,1
1,2,7.214510836573757,2,2,36.09525549589383,2,10.39,0.08811411083017963,3889244966.07471,1,0
0,2,6.972189556607125,7,0,25.383743933638357,1,11.89,0.05104991517487931,7516524910.169902,0,0
1,1,7.074871274081496,4,2,35.450705249557494,2,12.39,0.1072433161905317,6326780839.396307,0,0
0,1,7.418139768123316,18,2,37.84933336854038,1,10.99,0.05805938790560792,5555772750.873793,1,0
0,1,6.780082474342754,13,0,23.458810875830338,3,11.49,0.06470865966027203,7560261302.168223,0,0
1,3,6.906186528207275,4,0,26.672335268705126,0,13.98,0.0710193225309618,7692587405.676846,1,0
1,3,7.152946967600555,8,2,35.450705249557494,5,7.9,0.09325838270971218,9519233317.453924,1,0
0,1,6.971640378577228,0,2,31.15506242153794,4,7.87,0.09325838270971218,5732736715.296214,1,0
1,2,6.691921305112885,5,0,28.940365322032605,2,14.09,0.12647760575665437,10654962513.355818,0,1
0,2,7.188528522583898,2,2,32.45175718195024,3,7.66,0.06470865966027203,7131177372.410884,0,0
1,2,6.591724894189363,3,0,17.190585143143412,1,12.53,0.03585586620429589,8192309761.415138,1,0
1,2,7.4421166281538484,9,2,39.39170985082506,4,11.99,0.06470865966027203,9313388665.054804,1,0
1,1,7.08061387297395,4,2,28.940365322032605,3,6.03,0.05805938790560792,9313388665.054804,1,0
0,2,7.098379384958312,6,0,34.04752614226796,1,11.01,0.09325838270971218,9262440410.308636,1,0
0,1,6.978992414668031,11,0,37.84933336854038,5,10.38,0.1443598893104385,5486118428.808189,0,1
1,2,7.313507366913089,7,2,38.89752099820965,5,11.36,0.08270392415676227,8862159424.668594,0,0
0,3,6.986227746454639,1,2,28.325918680071606,2,10.59,0.0710193225309618,7604183516.216018,1,0
0,2,7.024046428569814,5,0,28.325918680071606,0,11.12,0.06470865966027203,7781740574.586063,0,1
1,2,7.089264148372181,3,0,35.450705249557494,2,16.45,0.10280919331396833,4137434503.8642383,0,1
1,1,6.9093833349583145,0,0,32.45175718195024,1,11.1,0.11549142059556487,5804663453.868556,1,0
1,2,6.757551787510825,47,0,17.190585143143412,5,17.49,0.027619554849898278,7648292050.977454,0,1
1,3,7.137124010869244,6,2,25.54658004362794,5,14.81,0.03585586620429589,6404076334.521833,0,1
1,2,7.195611386914263,18,2,30.067887089570064,3,11.49,0.05104991517487931,7781740574.586063,1,0
0,1,6.952843521436184,11,2,26.634660358668658,4,11.14,0.06470865966027203,7516524910.169902,0,0
1,3,7.0044615239866275,0,0,34.04752614226796,2,17.72,0.11146683302930122,5697018822.290741,0,1
