previous_loan_defaults_on_file,loan_percent_income,loan_int_rate,person_income
0,0.009724671349929508,7.46,7.194032786480383
0,0.11158913402205967,14.11,7.12461054668857
1,0.12664128808888697,11.71,6.948627691071542
0,0.03586669469958983,17.93,7.376898326764533
1,0.14192114856412413,12.73,7.098951016031308
1,0.05808895505540834,10.59,7.147842212423191
0,0.05808895505540834,10.31,7.1009087877668895
1,0.05808895505540834,19.13,7.148454055362531
1,0.11947098721153884,7.03,6.932632608824746
0,0.03586669469958983,11.13,7.1301270389909
1,0.09334040913530196,10.0,7.118804536848026
0,0.05808895505540834,8.0,7.09713658245102
0,0.043673327081762456,8.07,6.9529183460850374
1,0.12664128808888697,11.97,6.952965207537569
1,0.13317448646743135,8.9,6.876962672404823
1,0.07106470082915535,16.29,7.183551034935232
0,0.07106470082915535,11.49,7.538388710719656
0,0.06474586227505028,10.56,7.182516140416826
1,0.13317448646743135,11.2,7.112409949790191
0,0.1471322200089892,5.99,6.90049119940376
1,0.12664128808888697,5.79,6.707307508340726
1,0.15628086545310166,13.44,7.126761818760706
0,0.07706550839080353,11.91,6.967664580520099
1,0.05808895505540834,10.99,7.3575288675758115
0,0.11947098721153884,11.01,6.899802415949299
0,0.08276696795456778,11.28,7.077847560075035
1,0.027625889271455525,7.51,7.0734572093837365
1,0.09334040913530196,13.57,7.108519596141883
1,0.05107247465373813,13.12,6.890520499181615
0,0.12664128808888697,10.74,6.845760184518309
1,0.08276696795456778,6.17,7.402023883656303
0,0.10735536519184478,11.77,6.7759696522970465
0,0.12998323124978628,10.99,6.930392109468611
1,0.05107247465373813,5.79,7.282793189429527
0,0.027625889271455525,15.65,7.654868904832875
0,0.03586669469958983,13.11,6.846991755493433
1,0.10735536519184478,6.17,7.034287259100639
0,0.11947098721153884,7.57,7.137903206566439
0,0.174784764928423,12.66,6.7836281275736505
0,0.09334040913530196,11.01,7.113457912878738
1,0.14458441545070555,15.27,6.84085565398008
0,0.10735536519184478,9.99,7.101936833187612
0,0.0881865105148077,11.91,7.0206174349491555
0,0.0881865105148077,12.73,6.950991647700497
1,0.027625889271455525,11.01,7.10310867899219
0,0.03586669469958983,8.49,7.6265538617558795
0,0.09334040913530196,14.72,7.037508660934161
0,0.0881865105148077,11.83,7.447771931018565
1,0.13913620725483847,15.31,6.9695024187583225
0,0.11947098721153884,11.18,6.841421683386563
0,0.09334040913530196,13.11,7.295483530458932
1,0.05107247465373813,12.9,7.288098003846009
1,0.12314020680144803,15.23,7.248512398285858
1,0.027625889271455525,10.36,7.348222202212044
0,0.11158913402205967,11.01,7.168612550819574
0,0.10735536519184478,5.99,6.969971542929153
0,0.07706550839080353,7.29,7.056248044279294
1,0.05808895505540834,11.01,6.549638926646143
1,0.1471322200089892,7.66,7.093108438693433
1,0.12664128808888697,11.01,7.257111884651568
0,0.11562403831351005,13.47,7.148653329331996
1,0.14458441545070555,16.89,6.96770952035645
1,0.15628086545310166,11.11,6.84549648333259
0,0.10735536519184478,11.01,7.360882728677864
1,0.0881865105148077,15.99,7.136506356364844
0,0.10735536519184478,10.45,7.1029972481858525
0,0.12998323124978628,11.01,6.8423276216355235
1,0.10291108755642685,5.99,7.2314795062613175
0,0.0881865105148077,14.96,7.447796586166088
0,0.07706550839080353,7.61,7.101850433972998
1,0.06474586227505028,7.88,6.826943109842681
0,0.08276696795456778,11.01,7.183012011228056
1,0.12998323124978628,10.17,6.969286262037231
0,0.10291108755642685,12.76,7.03814568550244
0,0.03586669469958983,5.42,7.273905134784963
1,0.09824386520004495,15.7,6.830479866906134
1,0.16029942480720005,16.95,6.19648635094979
1,0.07706550839080353,11.97,7.118068717390558
1,0.027625889271455525,6.58,7.267336085476677
1,0.0881865105148077,14.79,7.157328174776119
1,0.0881865105148077,12.73,7.100954657859882
0,0.07706550839080353,14.82,6.9543603850894735
0,0.10735536519184478,11.99,7.206064436842122
1,0.06474586227505028,5.79,6.970811421801465
0,0.06474586227505028,5.79,7.0659525235390745
1,0.14192114856412413,7.88,6.901621184702171
0,0.10291108755642685,11.83,6.995302549016822
1,0.13913620725483847,10.99,6.951376260929261
1,0.09334040913530196,7.29,6.586879525262618
1,0.07106470082915535,14.72,6.996815273284079
